Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H25S1V001,H25S1V002,H25S1V003,H25S1V004,H25S1V005,H25S1V006,H25S1V007,H25S1V008,H25S1V009,H25S1V010,H25S1V011,H25S1V012,H25S1V013,H25S1V014,H25S1V015,H25S1V016,H25S1V017
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.02.1962,10.04.1962,10.04.1962,10.09.1962,10.11.1962,10.16.1962,10.17.1962,10.17.1962,10.25.1962,11.06.1962,11.06.1962,11.29.1962,12.04.1962,12.12.1962,01.31.1963,02.05.1963,02.05.1963
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,
36,BEAUCE,Quebec,1867 - ,25,1962.06.18,729,3564f0b7-81a3-4502-8aee-fd98b1dab6be,"PERRON, Gerard",15230,0.5879,Social Credit,Hotelier,,1,1,,,,,,,,,,,,,1,2,2,2,1,1,1,1,1,1,9,1,9,1,2,1,1
773,VERDUN,Quebec,1952 - 1980,25,1962.06.18,730,356b3da2-aff0-4859-9541-4fdcbaad2a58,"MACKASEY, Bryce Stuart",13860,0.4088,Liberal Party of Canada,"Businessman, manufacturer, merchant",,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,9,9,2,9,2,9,1,1
424,MARQUETTE,Manitoba,1871 - 1976,25,1962.06.18,753,370da791-e7ce-4318-b030-1863dd5185ee,"MANDZIUK, Nick",11366,0.5245,Progressive Conservative Party,"Barrister, insurance broker, lawyer, solicitor, teacher",,0,3,,,,,,,,,Ukraine,,,,2,2,2,2,1,1,1,1,1,2,2,9,1,1,1,2,2
206,ELGIN,Ontario,1933 - 1990,25,1962.06.18,764,381a3bd1-6a33-468b-9480-89ee67c77382,"MCBAIN, John A.",12569,0.4551,Progressive Conservative Party,Farmer,,0,4,,,1,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
170,DAVENPORT,Ontario,1933 - ,25,1962.06.18,792,398d94f2-7e37-46cd-8261-67eaeb1ddcd1,"GORDON, Walter L.",9101,0.4264,Liberal Party of Canada,Chartered accountant,,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,9,1,1,2,9,2,2,1,1
682,SHELBURNE--YARMOUTH--CLARE,Nova Scotia,1952 - 1966,25,1962.06.18,823,3c5f1c06-bcae-447b-8bf8-e4254babfa4f,"LEGERE, Felton Fenwick",11162,0.4954,Progressive Conservative Party,Lobster dealer,,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,9,1,9,2,2
289,HULL,Quebec,1914 - 1984,25,1962.06.18,825,3c7abf33-5a24-4c46-87e9-5a6c9d457af5,"CARON, Alexis",17932,0.4817,Liberal Party of Canada,Insurance broker,,1,4,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,9,9,2,2,1,1
1265,ST. ANN,Quebec,1952 - 1966,25,1962.06.18,827,3c8558d4-2824-405e-99e9-65613d269bb4,"LOISELLE, Gerard",7737,0.5851,Liberal Party of Canada,"Insurance broker, merchant",,1,3,,,,,,,,,,,,,2,1,1,1,2,1,2,2,9,1,1,2,9,2,2,1,1
504,NORTHWEST TERRITORIES,Northwest Territories,1962 - 1976,25,1962.06.18,832,3cb87fb0-56fb-4f82-9db7-5b224a503f4d,"HARDIE, I.J. Tibbie",3842,0.4624,Liberal Party of Canada,Homemaker,,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,9,1,1,2,9,9,2,1,1
707,STORMONT,Ontario,1924 - 1966,25,1962.07.16,849,3e0d75d7-a08d-413b-9413-e6054d79e797,"LAMOUREUX, Lucien",11363,0.4571,Liberal Party of Canada,"Barrister, lawyer",,1,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,9,9,2,1,1
