Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S30S1V01,S30S1V02,S30S1V03,S30S1V04,S30S1V05,S30S1V06,S30S1V07,S30S1V08,S30S1V09,S30S1V10,S30S1V11,S30S1V12,S30S2V01,S30S2V02,S30S2V03,S30S2V04,S30S2V05,S30S2V06,S30S2V07,S30S3V01,S30S3V02,S30S3V03,S30S3V04,S30S3V05,S30S4V01,S30S4V02,S30S4V03,S30S4V04,S30S4V05,S30S4V06,S30S4V07
"Benidickson, William Moore",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1965.07.07 - 1985.01.04 ,1965.07.07 , 1985.01.04 ,(Death),2,9,2,9,9,9,9,9,1,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,1,9,9
"Sullivan, Joseph Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.10.12 - 1985.02.18 ,1957.10.12 , 1985.02.18 ,(Resignation),9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Beaubien, Louis-Philippe",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1985.03.28 ,1960.11.16 , 1985.03.28 ,(Death),9,9,9,9,1,1,1,9,9,1,2,2,2,1,9,9,1,1,1,9,2,9,9,1,9,9,9,9,9,1,1
"Deschatelets, Jean-Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.02.24 - 1986.01.10 ,1966.02.24 , 1986.01.10 ,(Resignation),2,2,9,2,2,2,2,9,9,2,1,1,1,1,2,2,1,2,9,2,1,9,9,2,9,9,9,9,9,1,2
"Inman, Florence Elsie",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1955.07.28 - 1986.05.31 ,1955.07.28 , 1986.05.31 ,(Death),2,2,2,2,2,2,9,9,9,9,9,9,1,2,1,2,1,1,2,9,1,1,2,2,9,9,9,9,9,2,2
"Yuzyk, Paul",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1963.02.04 - 1986.07.09 ,1963.02.04 , 1986.07.09 ,(Death),9,9,1,9,9,9,9,1,9,1,2,1,2,9,1,9,1,1,9,9,9,9,9,1,9,9,9,9,9,1,1
"GiguíÂre, Louis de Gonzague",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1968.09.10 - 1986.12.18 ,1968.09.10 , 1986.12.18 ,(Retirement),9,9,9,9,9,9,9,9,1,9,9,9,9,2,1,9,2,2,2,9,9,9,2,9,9,9,9,9,9,2,9
"Lapointe, Louise Marguerite Renaude",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1971.11.10 - 1987.01.03 ,1971.11.10 , 1987.01.03 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Godfrey, John Morrow",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1973.10.05 - 1987.06.28 ,1973.10.05 , 1987.06.28 ,(Retirement),9,2,2,9,9,9,9,1,1,2,1,9,1,1,2,9,2,2,1,9,1,9,2,9,9,9,9,9,9,1,2
"Cameron, Donald",Independent Liberal,Alberta,"St-Laurent, Louis Stephen",1955.07.28 - 1987.09.19 ,1955.07.28 , 1987.09.19 ,(Resignation),2,1,9,2,9,1,2,9,1,9,1,1,1,1,1,9,1,1,1,1,1,1,9,2,9,9,9,9,9,2,2
