Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H31S1V001,H31S1V002,H31S1V003,H31S1V004,H31S1V005,H31S1V006,H31S1V007,H31S1V008
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.09.1979,10.11.1979,10.15.1979,10.25.1979,11.06.1979,12.04.1979,12.10.1979,12.13.1979
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,
209,ERIE,Ontario,1976 - 1996,31,1979.05.22,982,47300103-ceff-41fc-8f7c-7b416ca7257f,"FRETZ, Girve",15500,0.458,Progressive Conservative Party,"Businessman, merchant, retail merchant",,0,1,,,,,,,,,,,,,2,2,2,9,2,1,1,2
819,WINDSOR--WALKERVILLE,Ontario,1966 - 1987,31,1979.05.22,1027,4b34370d-5e62-4479-a0b0-7bd3a601fef1,"MACGUIGAN, Mark",17561,0.43,Liberal Party of Canada,Professor of law,,0,4,,,,,,,,,,,,,9,2,1,1,1,2,2,1
1,ABITIBI,Quebec,1966 - 1998,31,1979.05.22,1039,4caf8485-37f9-4267-ac86-70d0381b633f,"CAOUETTE, Armand",21387,0.4537,Social Credit,"Air-conditioning operator-mechanic, sales representative, salesman",,1,2,,,,,,,,,,,,,1,2,2,2,2,1,1,9
396,LEVIS,Quebec,1867 - 1998,31,1979.05.22,1060,4e0d6776-0998-4c61-bba2-59461547d946,"GUAY, Raynald",31753,0.5831,Liberal Party of Canada,Lawyer,,1,6,,,,,,,,,,,,,2,9,1,9,1,2,9,1
818,WINDSOR WEST,Ontario,1966 - ,31,1979.05.22,1062,4e3a9e68-a6fb-4e24-9458-cfe2e836c8bc,"GRAY, Herb",16943,0.4856,Liberal Party of Canada,Lawyer,,0,7,,,,,,,,,,,,,2,2,1,1,1,2,2,1
202,EDMONTON--STRATHCONA,Alberta,1952 - ,31,1979.05.22,1076,4f39de20-4cdf-4e88-8f70-e578854ca628,"KILGOUR, David",26430,0.5947,Progressive Conservative Party,"Author, barrister and solicitor, lawyer",,0,1,,,1,,,,,,,,,,2,2,2,2,2,1,1,2
980,YORK SOUTH--WESTON,Ontario,1976 - ,31,1979.05.22,1089,503851c7-6da6-4974-ae68-efc5d074e7e4,"APPOLLONI, Ursula",14913,0.4025,Liberal Party of Canada,"Columnist, homemaker",,1,2,,,,,,,,,Ireland,,,,2,2,1,1,1,2,9,1
266,HALTON,Ontario,1867 - 1987,31,1979.05.22,1101,514e5018-9663-4503-9bb9-0d09c7138f1b,"JELINEK, Otto",28850,0.5327,Progressive Conservative Party,Businessman,,0,3,,,1,,,,,,Czechoslovakia,,,,9,2,2,2,2,1,1,2
693,SOUTH SHORE,Nova Scotia,1966 - 2003,31,1979.05.22,1127,53582230-b17d-4b34-9398-b8e59787ba07,"CROUSE, Lloyd R.",20867,0.5714,Progressive Conservative Party,"Administrator, business executive",,0,9,,,,,,,,,,,,,2,2,2,2,2,9,9,9
688,SIMCOE SOUTH,Ontario,1976 - 1987,31,1979.05.22,1132,536c2546-3ff5-4d04-b17c-d536c6aaaf6b,"STEWART, Ron",25483,0.5483,Progressive Conservative Party,"Wholesale distributor, wholesaler",,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
761,VANCOUVER KINGSWAY,British Columbia,1952 - 1987,31,1979.05.22,1135,53bb5c29-71f8-43bd-9fa4-d35154a120cb,"WADDELL, Ian",15928,0.4476,New Democratic Party,"Lawyer, professor of criminology, teacher",,0,1,,,,,,,,,Scotland,,,,2,1,1,1,1,2,9,1
53,BONAVISTA--TRINITY--CONCEPTION,Newfoundland and Labrador,1966 - 2003,31,1979.05.22,1136,53bd5f97-46c2-46ca-8e46-54977b8108a0,"ROONEY, Dave",11314,0.458,Liberal Party of Canada,Teacher,,0,3,,,,,,,,,,,,,9,9,9,1,1,2,9,1
636,SAINT-HYACINTHE,Quebec,1966 - 1980,31,1979.05.22,1152,54c79621-0363-4a46-9dca-63774fe9d90a,"OSTIGUY, Marcel",23666,0.5399,Liberal Party of Canada,"Businessman, industrialist",,1,2,,,,,,,,,,,,,2,9,9,1,1,9,9,1
